GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.security,ServiceKeyAuthenticationFilter,55,0,4,0,14,0,5,0,3,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.security,OAuth2UserService,138,0,16,0,37,0,12,0,4,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.security,JwtService,112,0,4,0,26,0,15,0,13,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.security,OAuth2LoginSuccessHandler,253,0,14,0,64,0,10,0,3,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.security,CustomUserDetailsService,20,0,0,0,3,0,2,0,2,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.security,JwtAuthenticationFilter,85,0,14,0,21,0,9,0,2,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.security,CustomUserDetails,29,0,0,0,8,0,7,0,7,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.security,CustomAuthenticationEntryPoint,51,0,0,0,12,0,2,0,2,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.util,IpAddressUtil,48,61,12,2,7,6,7,3,0,3
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.util,Utils,15,0,0,0,4,0,1,0,1,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.service,UserService,461,176,29,11,98,50,35,7,16,6
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.service,EventPublisher,77,4,2,0,12,1,3,1,2,1
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.service,AdminService,110,0,0,0,27,0,2,0,2,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.service,AuthService,172,421,14,14,45,122,16,9,6,5
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.service,OAuthStateService,63,0,2,0,20,0,4,0,3,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.scheduler,TokenCleanupScheduler,41,0,0,0,14,0,2,0,2,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.exception,GlobalExceptionHandler,287,0,0,0,53,0,9,0,9,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.controller,UserController,85,0,2,0,13,0,10,0,9,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.controller,HelloController,5,0,0,0,2,0,2,0,2,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.controller,AdminController,15,0,0,0,2,0,2,0,2,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.controller,OAuth2InitController,49,0,2,0,14,0,3,0,2,0
TeleTrack360 Global Coverage Report/user-service,com.teletrack.userservice.controller,AuthController,37,0,0,0,7,0,6,0,6,0
TeleTrack360 Global Coverage Report/incident-service,com.teletrack.incidentservice.controller,IncidentController,346,0,2,0,108,0,11,0,10,0
TeleTrack360 Global Coverage Report/incident-service,com.teletrack.incidentservice.controller,HelloController,36,0,2,0,8,0,2,0,1,0
TeleTrack360 Global Coverage Report/incident-service,com.teletrack.incidentservice.exception,GlobalExceptionHandler,287,0,0,0,53,0,9,0,9,0
TeleTrack360 Global Coverage Report/incident-service,com.teletrack.incidentservice.service,EventPublisher,38,0,0,0,7,0,2,0,2,0
TeleTrack360 Global Coverage Report/incident-service,com.teletrack.incidentservice.service,IncidentService,646,0,30,0,169,0,32,0,17,0
TeleTrack360 Global Coverage Report/incident-service,com.teletrack.incidentservice.client,UserServiceCaller,183,0,8,0,55,0,9,0,5,0
TeleTrack360 Global Coverage Report/notification-service,com.teletrack.notificationservice.consumer,NotificationConsumer,447,0,12,0,119,0,16,0,10,0
TeleTrack360 Global Coverage Report/notification-service,com.teletrack.notificationservice.service,EmailService,60,0,0,0,16,0,2,0,2,0
TeleTrack360 Global Coverage Report/reporting-service,com.teletrack.reportingservice.listener,IncidentEventListener,316,0,8,0,93,0,10,0,6,0
TeleTrack360 Global Coverage Report/reporting-service,com.teletrack.reportingservice.service,ReportService,8,271,5,11,0,77,4,17,0,13
TeleTrack360 Global Coverage Report/reporting-service,com.teletrack.reportingservice.client,AIServiceClient,96,0,0,0,23,0,3,0,3,0
TeleTrack360 Global Coverage Report/reporting-service,com.teletrack.reportingservice.controller,ReportController,145,0,0,0,31,0,6,0,6,0
TeleTrack360 Global Coverage Report/reporting-service,com.teletrack.reportingservice.controller,HelloController,5,0,0,0,2,0,2,0,2,0
TeleTrack360 Global Coverage Report/api-gateway,com.teletrack.apigateway.controller,FallbackController,66,0,0,0,17,0,4,0,4,0
TeleTrack360 Global Coverage Report/common-utils,com.teletrack.commonutils.enums,IncidentStatus,27,0,0,0,5,0,1,0,1,0
TeleTrack360 Global Coverage Report/common-utils,com.teletrack.commonutils.enums,IncidentPriority,27,0,0,0,5,0,1,0,1,0
TeleTrack360 Global Coverage Report/common-utils,com.teletrack.commonutils.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
TeleTrack360 Global Coverage Report/common-utils,com.teletrack.commonutils.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
